Zone,ratio_import_conso,PIB_par_habitant,croissance_pop2015_2018,taux_proteine_animal,kilogramme_proteine_par_habitant_par_an,millions_de_kcal_par_habitant_par_an,cluster
Liban,0.08196721311475409,14717.4,4.752879428488118,0.3254163649529325,25.20325,2.110065,2
Libéria,0.5492957746478874,1427.8,7.200664038182197,0.2728971962616822,15.622000000000005,1.57461,1
Lituanie,0.5421686746987951,36974.9,-4.676901106747589,0.6232708876768636,46.17614999999999,2.47835,3
Luxembourg,1.0909090909090908,114482.0,6.125827814569536,0.6228993536472761,39.5295,2.5323700000000002,3
Macédoine du Nord,0.975609756097561,16506.1,0.19203072491598652,0.4334479080241789,30.795049999999996,2.214455,3
Madagascar,0.0,1646.2,7.722184144391135,0.21210061182868795,16.107449999999993,1.4063450000000002,1
Malaisie,0.04678362573099415,28350.6,3.986932250697792,0.5577941366395452,28.26195,2.08123,5
Malawi,0.0,1059.7,7.705451138180014,0.13900074571215512,24.473250000000004,1.7833900000000003,1
Maldives,1.0833333333333333,18914.3,11.821705426356587,0.604433497536946,29.638,1.6939650000000002,2
Mali,0.0,2327.4,8.591047279589057,0.2689176245210729,30.4848,2.080135,2
Malte,0.6428571428571429,43340.2,1.1389521640091116,0.5678184631253222,42.46410000000002,2.497695,3
Maroc,0.00410958904109589,7514.7,3.7886147270254513,0.2750495049504949,36.865000000000016,2.47689,4
Maurice,0.058823529411764705,22989.3,0.6314127861089187,0.4642334121888026,32.40105000000001,2.2199299999999997,3
Mauritanie,1.2608695652173914,5197.0,8.108108108108109,0.3614296169797513,29.922699999999992,2.09802,2
Mexique,0.22608095676172954,19746.4,3.4336838601802038,0.4897200349956256,33.37559999999999,2.294025,5
Mongolie,1.3333333333333333,12309.8,5.4258675078864345,0.6512773513575437,31.86085000000001,1.845805,5
Monténégro,0.9,21378.6,0.15923566878980894,0.6145569066573353,41.72315,2.523245,3
Mozambique,0.22321428571428573,1280.5,8.319772172497968,0.19141914191419132,15.483299999999998,1.528255,1
Myanmar,0.0006191950464396285,5142.2,1.9121918522380281,0.456480970766685,33.08725,1.9542099999999998,4
Namibie,1.0833333333333333,9637.2,5.433006535947713,0.3508531383302865,23.95859999999999,1.78485,2
Nicaragua,0.05303030303030303,5407.1,3.758119393751933,0.3103611417757451,23.144649999999995,1.86515,2
Niger,0.08,1219.1,10.876442543331995,0.1412306201550388,30.134400000000007,1.85128,1
Nigéria,0.08530805687203792,5135.5,7.524186343331205,0.12508532423208188,21.389,1.8713549999999999,1
Norvège,0.018018018018018018,63633.1,2.5852379168227797,0.5995760840766584,41.328950000000006,2.477985,3
Nouvelle-Zélande,0.004784688995215311,42887.5,2.6987138941598143,0.5498721227621479,34.25160000000001,2.315925,5
Népal,0.0,3416.8,3.8475227790432798,0.1913946587537092,27.0611,2.00969,2
Oman,1.0714285714285714,27896.3,11.638020294056739,0.4933724340175956,31.11625,2.14693,2
Ouganda,0.0,2181.2,10.540850476257342,0.2607120017053933,17.122150000000005,1.47971,1
Ouzbékistan,0.1044776119402985,6998.7,4.76043847764503,0.3833369075702336,34.03990000000001,2.188905,4
Pakistan,0.0009569377990430622,4690.5,6.031720602371035,0.3955502463789757,24.444050000000008,1.7979900000000002,2
Panama,0.10194174757281553,31458.7,5.003591094086665,0.5321957902603062,29.30585000000001,2.04692,5
Papouasie-Nouvelle-Guinée,0.7241379310344828,4387.6,5.7866604694399255,0.5499146095326812,23.509650000000004,1.669145,2
Paraguay,0.014492753623188406,12684.6,3.838412880966073,0.4054600606673408,25.26895,2.01188,2
Pays-Bas,2.5,57141.4,0.7151230949589683,0.6556776556776558,38.86155,2.384545,3
Philippines,0.20614035087719298,8908.2,4.254999953118114,0.4208673387742038,22.808850000000003,1.9038400000000002,2
Pologne,0.061748195669607056,33086.4,-0.29534307262275195,0.5495683521487524,38.47465,2.52069,3
Portugal,0.25297619047619047,34798.0,-1.0920436817472698,0.63629363449692,42.6612,2.52507,3
Pérou,0.04239854633555421,12847.9,4.745381224796024,0.38281450990481103,28.3751,2.0261150000000003,2
Roumanie,0.37105263157894736,29909.0,-2.148057008100072,0.4906559179186515,39.8434,2.572885,3
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.3767026773132926,46699.3,1.9093860772690716,0.5582739356578694,37.8943,2.45791,3
Rwanda,0.0,2226.2,7.584132661355878,0.14089986468200266,21.578799999999994,1.59505,1
République centrafricaine,0.5555555555555556,944.9,3.707672524646378,0.4437710437710439,16.26075000000001,1.28188,1
République de Corée,0.19653179190751446,42661.2,0.6820136011881498,0.5165285129331869,36.54745,2.46886,3
République de Moldova,0.25,13033.9,-0.4689042448173741,0.49131352492287705,22.48035,1.7169599999999998,5
République dominicaine,0.1425,18419.0,3.2464477274865913,0.5050535525720321,24.195850000000004,2.057505,2
République démocratique populaire lao,0.975609756097561,7826.4,4.545454545454546,0.23621944877795106,28.075800000000008,2.004945,2
République-Unie de Tanzanie,0.012345679012345678,2660.4,8.577060359064513,0.20597217509331528,21.51309999999999,1.7249900000000002,1
Saint-Kitts-et-Nevis,0.75,26356.5,1.9230769230769231,0.6422268362315074,28.1269,1.8593099999999998,5
Saint-Vincent-et-les Grenadines,0.8888888888888888,12466.2,0.9090909090909092,0.5613800779076238,32.79525,2.15423,5
Sainte-Lucie,0.9090909090909091,15448.8,1.6483516483516485,0.6232828870779974,31.35350000000001,1.90822,5
Samoa,1.2,6517.0,1.020408163265306,0.5927359672093818,32.057950000000005,2.188905,5
Sao Tomé-et-Principe,1.0,3963.8,5.6872037914691935,0.3045154185022028,19.885199999999994,1.757475,1
Serbie,0.1650485436893204,18179.8,-0.8406225150516871,0.4988729386641356,30.76585,2.04838,5
Sierra Leone,0.5625,1718.4,6.2483660130718945,0.22470588235294126,18.615,1.709295,1
Slovaquie,1.0609756097560976,32792.6,0.3117549972492206,0.5271241369592786,25.904050000000005,2.039255,5
